Index,smiles,expt.(A^3)
167,C(=C\Cl)\Cl,8.08
168,C1CCCCCC1,12.84
169,C1C=CC=CC=C1,12.46
170,C1CCCCC1,11.04
171,C1CCC(CC1)O,11.40
172,C1CCC(=O)CC1,11.12
173,C1CCC=CC1,10.79
174,C1CCC(CC1)N,12.47
175,c1ccc(cc1)C2CCCCC2,20.77
176,C1CCCCCCC1,14.62
177,C\1=C\C=C/C=C\C=C1,14.07
178,C1CCCC1,9.23
179,C1CCC(C1)O,9.72
180,CC(=O)C1CC1,9.51
181,CCCCOCCCC,16.31
182,CCCCOC(=O)c1ccccc1C(=O)OCCCC,30.75
183,CCCCNCCCC,16.90
184,CC(C)(C)OC(C)(C)C,16.27
185,CC(C)(C)SC(C)(C)C,19.31
186,C(Br)Br,8.75
187,C(C(=O)O)(Cl)Cl,9.10
188,C1CC1C(=O)C2CC2,12.52
189,C(CO)NCCO,10.70
190,CCOCOCC,11.40
191,CCOC(=O)OCC,11.32
192,CCSSCC,14.59
193,CCOC(=O)CC(=O)OCC,15.11
194,CCOS(=O)(=O)OCC,13.00
195,CCSCC,11.38
196,CCOS(=O)OCC,12.71
197,CCNCC,9.63
198,C(COCCO)O,10.09
199,COCCOCCOC,13.97
200,C(I)I,12.96
201,CC(C)OC(C)C,12.65
202,CC(C)NC(C)C,13.45
203,COCOC,7.68
204,COC(=O)OC,7.56
205,CSSC,10.84
206,COC(=O)c1ccccc1C(=O)OC,19.59
207,COS(=O)(=O)OC,8.88
208,CSC,7.63
209,COS(=O)OC,8.94
210,CS(=O)C,8.03
211,c1ccc(cc1)Oc2ccccc2,21.02
212,c1ccc(cc1)Cc2ccccc2,21.90
213,CCO,5.13
214,CCOC(=O)C,8.87
215,CCOC(=O)CC(=O)C,12.82
216,CCOC(=O)c1ccccc1,16.94
217,CCOC(=O)CCl,10.76
218,CCOC=O,7.09
219,CCOC(=O)[C@H](C)O,11.34
220,CCOC(=O)C#C,10.08
221,CCOC(=O)C(Cl)(Cl)Cl,14.82
222,CCOC=C,8.74
223,CCc1ccccc1,14.24
224,C1COC(=O)O1,6.60
225,COCCOC,9.58
226,C1COS(=O)O1,8.00
227,CCC(=O)OCC,10.60
228,C(=O)N,4.22
229,C(=O)O,3.39
230,c1ccoc1,7.35
231,C1CC(=O)OC1,7.94
232,C(=C(Cl)Cl)(C(=C(Cl)Cl)Cl)Cl,19.75
233,C1(=C(C(C(=C1Cl)Cl)(Cl)Cl)Cl)Cl,20.67
234,c1(c(c(c(c(c1F)F)F)F)F)F,10.56
235,CN(C)P(=O)(N(C)C)N(C)C,19.00
236,CCCCCC#N,11.84
237,CCI,9.66
238,CI,7.68
239,CC(C)CCOC(=O)C,14.48
240,CC(C)CC(C)(C)C,15.63
241,CC(C)c1ccccc1,16.10
242,Cc1cccc(c1)C,14.33
243,Cc1cc(cc(c1)C)C,16.25
244,CS(=O)(=O)O,6.70
245,CC(=O)OC,7.00
246,COC(=O)C=C,8.85
247,COC(=O)c1ccccc1,15.06
248,CCCC(=O)OC,10.67
249,COC=O,5.21
250,CCCCCC(=O)OC,14.34
251,CC(=C)C(=O)OC,10.60
252,CCCCCCCC(=O)OC,18.09
253,CCCCC(=O)OC,12.53
254,CCC(=O)OC,8.82
255,COC(=O)c1ccccc1O,16.00
256,COC(=O)C(Cl)(Cl)Cl,12.87
257,COC(=O)C(F)(F)F,7.19
258,CN(C)P(=O)(N(C)C)N(C)C,16.05
259,C1COCCN1,9.40
